index sum
0 1.000000000000000
1 1.888888888888889
2 2.679012345679012
3 3.381344307270233
4 4.005639384240206
5 4.560568341546849
6 5.053838525819422
7 5.492300911839486
8 5.882045254968432
9 6.228484671083050
10 6.536430818740489
11 6.810160727769323
12 7.053476202461620
13 7.269756624410328
14 7.462005888364736
15 7.632894122990876
16 7.784794775991890
17 7.919817578659457
18 8.039837847697296
19 8.146522531286484
20 8.241353361143542
21 8.325647432127592
22 8.400575495224526
23 8.467178217977356
24 8.526380638202093
25 8.579005011735195
26 8.625782232653506
27 8.667361984580895
28 8.704321764071906
29 8.737174901397250
30 8.766377690130888
31 8.792335724560790
32 8.815409532942924
33 8.835919584838155
34 8.854150742078360
35 8.870356215180765
36 8.884761080160679
37 8.897565404587271
38 8.908947026299796
39 8.919064023377596
40 8.928056909668973
41 8.936050586372421
42 8.943156076775486
43 8.949472068244877
44 8.955086282884334
45 8.960076695897186
46 8.964512618575277
47 8.968455660955803
48 8.971960587516270
49 8.975076077792240
50 8.977845402481991
51 8.980307024428436
52 8.982495132825276
53 8.984440118066912
54 8.986168993837255
55 8.987705772299783
56 8.989071797599808
57 8.990286042310940
58 8.991365370943058
59 8.992324774171607
60 8.993177577041429
61 8.993935624036826
62 8.994609443588290
63 8.995208394300702
64 8.995740794933958
65 8.996214039941297
66 8.996634702170041
67 8.997008624151148
68 8.997340999245464
69 8.997636443773747
70 8.997899061132220
71 8.998132498784196
72 8.998339998919286
73 8.998524443483811
74 8.998688394207832
75 8.998834128184740
76 8.998963669497547
77 8.999078817331153
78 8.999181170961025
79 8.999272151965355
80 8.999353023969205
81 8.999424910194849
82 8.999488809062088
83 8.999545608055190
84 8.999596096049057
85 8.999640974265828
86 8.999680866014069
87 8.999716325345839
88 8.999747844751857
89 8.999775862001650
90 8.999800766223689
91 8.999822903309946
92 8.999842580719951
93 8.999860071751067
94 8.999875619334281
95 8.999889439408250
96 8.999901723918445
97 8.999912643483063
98 8.999922349762722
99 8.999930977566864
100 8.999938646726100
